Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
35,de Jong,Letitia,NED,"1.16,17",2021-02-06,Heerenveen (NED),Oefensessie 12,f,2020,1000
36,Poutsma,Selma,NED,"1.16,25",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1000
36,Kuznetsova,Irina,RUS,"1.16,25",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,1000
38,Takagi,Nana,JPN,"1.16,26",2020-12-29,Obihiro (JPN),Japan - National Championships 2021,f,2020,1000
39,Njåtun,Ida,NOR,"1.16,28",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,1000
40,Jackson,Erin,USA,"1.16,34",2021-03-06,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,1000
41,Voskamp,Dione,NED,"1.16,38",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1000
42,Beune,Joy,NED,"1.16,43",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1000
43,Oshigiri,Misaki,JPN,"1.16,49",2020-10-24,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1000
44,de Neeling,Sanneke,NED,"1.16,50",2020-12-19,Heerenveen (NED),Oefensessie 9,f,2020,1000
45,Zdráhalová,Nikola,CZE,"1.16,52",2021-01-09,Inzell (GER),Frillensee Cup / Invitation Race,f,2020,1000
46,Sato,Ayano,JPN,"1.16,59",2020-10-24,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1000
47,van Beek,Lotte,NED,"1.16,60",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1000
48,Kim,Hyun-Yung,KOR,"1.16,63",2021-04-25,Seoul (KOR),Korea - Sprint Championships 2021,f,2020,1000
49,Lamarche,Béatrice,CAN,"1.16,66",2021-02-13,Heerenveen (NED),World Championships 2021,f,2020,1000
50,Stollenga,Esmé,NED,"1.16,74",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1000
51,Lalenkova,Evgeniia,RUS,"1.16,75",2020-12-25,Kolomna,Kolomna Speed Skating Center Prize,f,2020,1000
52,Damaratskaya,Hanna,BLR,"1.16,76",2021-01-16,Heerenveen (NED),European Championships 2021,f,2020,1000
53,Inagawa,Kurumi,JPN,"1.16,85",2020-10-24,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1000
54,Sáblíková,Martina,CZE,"1.16,88",2021-01-09,Inzell (GER),Frillensee Cup / Invitation Race,f,2020,1000
55,Kosaka,Rin,JPN,"1.17,09",2021-02-12,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1000
56,Warren,Sarah,USA,"1.17,13",2021-03-07,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,1000
57,Lugters,Maud,NED,"1.17,16",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1000
58,Ziomek,Kaja,POL,"1.17,28",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,1000
59,Tsuji,Maki,JPN,"1.17,29",2021-03-07,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,1000
60,Franzen,Katja,GER,"1.17,30",2021-01-16,Heerenveen (NED),European Championships 2021,f,2020,1000
61,Smit,Janine,NED,"1.17,33",2020-11-28,Heerenveen (NED),Netherlands - Sprint Championships 2021,f,2020,1000
62,Kikuchi,Sumire,JPN,"1.17,35",2020-10-24,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1000
63,Jon,Ok-Sim,PRK,"1.17,37",2021-03-11,Samjion (PRK),National Competition,f,2020,1000
64,Beuling,Femke,NED,"1.17,39",2021-01-09,Heerenveen (NED),Oefensessie 10,f,2020,1000
65,Sloeva,Ekaterina,BLR,"1.17,44",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,1000
66,Heimerl,Josephine,GER,"1.17,47",2021-02-28,Inzell (GER),Internationales Rennen,f,2020,1000
67,An,Hyang-Mi,PRK,"1.17,63",2021-03-11,Samjion (PRK),National Competition,f,2020,1000
68,Onodera,Yuna,JPN,"1.17,65",2020-12-29,Obihiro (JPN),Japan - National Championships 2021,f,2020,1000
69,Anema,Reina,NED,"1.17,68",2021-01-09,Heerenveen (NED),Oefensessie 10,f,2020,1000
69,Yamane,Kako,JPN,"1.17,68",2021-02-12,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1000
71,Li,Qishi,CHN,"1.17,81",2021-03-29,Harbin (CHN),China - Single Distances Championships 2021,f,2020,1000
72,Toi,Saori,JPN,"1.17,82",2020-10-24,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1000
73,Schwartzburg,Paige,USA,"1.17,86",2020-11-13,Salt Lake City (USA),Salty Cup #1,f,2020,1000
74,Silaeva,Kristina,KAZ,"1.18,02",2020-12-25,Kolomna,Kolomna Speed Skating Center Prize,f,2020,1000
75,Zhao,Xin,CHN,"1.18,06",2021-03-29,Harbin (CHN),China - Single Distances Championships 2021,f,2020,1000
76,Yin,Qi,CHN,"1.18,10",2021-03-29,Harbin (CHN),China - Single Distances Championships 2021,f,2020,1000
77,Wójcik,Andżelika,POL,"1.18,13",2021-01-17,Heerenveen (NED),European Championships 2021,f,2020,1000
78,Bats,Leonie,NED,"1.18,22",2020-12-28,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1000
79,Matsuzawa,Yukari,JPN,"1.18,25",2021-02-12,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1000
80,Blokker,Roza,NED,"1.18,28",2020-11-14,Heerenveen (NED),Oefensessie 3,f,2020,1000
81,Kiel,Esther,NED,"1.18,37",2020-11-14,Heerenveen (NED),Oefensessie 4,f,2020,1000
82,Smeding,Ellia,GBR,"1.18,40",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,1000
83,Ri,Yu-Jong,PRK,"1.18,43",2021-03-11,Samjion (PRK),National Competition,f,2020,1000
84,Daleman,Angel,NED,"1.18,45",2021-02-07,Heerenveen (NED),KNSB TalentTeams Oefensessie 2,f,2020,1000
85,Hoogendoorn,Chloé,NED,"1.18,46",2021-02-21,Heerenveen (NED),Oefensessie Junioren A/B,f,2020,1000
86,Hogaş,Mihaela,ROU,"1.18,49",2021-01-16,Heerenveen (NED),European Championships 2021,f,2020,1000
87,Groot,Robin,NED,"1.18,51",2021-01-15,Heerenveen (NED),Oefensessie 11,f,2020,1000
88,Kaminaga,Shione,JPN,"1.18,60",2021-03-07,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,1000
89,Jabrzyk,Natalia,POL,"1.18,62",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,1000
90,Hijlkema,Aveline,NED,"1.18,70",2020-12-19,Heerenveen (NED),Oefensessie 9,f,2020,1000
90,Kim,Min-Sun,KOR,"1.18,70",2021-04-25,Seoul (KOR),Korea - Sprint Championships 2021,f,2020,1000
92,Arshinova,Irina,RUS,"1.18,72",2020-12-25,Kolomna,Kolomna Speed Skating Center Prize,f,2020,1000
93,Abe,Yuka,JPN,"1.18,80",2021-02-12,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1000
94,Wiklund,Ragne,NOR,"1.18,81",2020-11-01,Hamar (NOR),Norway - Single Distances Championships 2020,f,2020,1000
95,Kang,Hyon-Jong,PRK,"1.18,85",2021-03-11,Samjion (PRK),National Competition,f,2020,1000
96,de Boer,Myrthe,NED,"1.18,88",2020-09-19,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2020,1000
96,Thum,Mareike,GER,"1.18,88",2021-02-28,Inzell (GER),Internationales Rennen,f,2020,1000
98,Takahashi,Yuka,JPN,"1.19,05",2021-02-12,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1000
99,Morozova,Nadezhda,KAZ,"1.19,06",2020-10-20,Astana (KAZ),Control Training,f,2020,1000
100,Groenewoud,Jade,NED,"1.19,14",2021-01-09,Heerenveen (NED),KNSB TalentTeams Oefensessie 1,f,2020,1000
1,Bowe,Brittany,USA,"1.52,25",2021-01-02,Salt Lake City (USA),New Years Time Trial,f,2020,1500
2,Takagi,Miho,JPN,"1.52,78",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
3,Rijpma-de Jong,Antoinette,NED,"1.53,81",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
4,Wüst,Ireen,NED,"1.54,22",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
5,Wiklund,Ragne,NOR,"1.54,61",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,1500
6,Lalenkova,Evgeniia,RUS,"1.54,65",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
7,Manganello,Mia,USA,"1.54,85",2021-03-05,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,1500
8,Golubeva,Elizaveta,KAZ,"1.54,87",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
9,ter Mors,Jorien,NED,"1.54,97",2021-01-23,Heerenveen (NED),ISU World Cup #1,f,2020,1500
10,Schouten,Irene,NED,"1.54,98",2021-01-23,Heerenveen (NED),ISU World Cup #1,f,2020,1500
11,Morozova,Nadezhda,KAZ,"1.55,17",2021-01-23,Heerenveen (NED),ISU World Cup #1,f,2020,1500
12,Czerwonka,Natalia,POL,"1.55,29",2021-01-23,Heerenveen (NED),ISU World Cup #1,f,2020,1500
13,Wijfje,Melissa,NED,"1.55,37",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
14,Kodaira,Nao,JPN,"1.55,38",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
15,Takagi,Nana,JPN,"1.55,40",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
16,Sáblíková,Martina,CZE,"1.55,48",2021-01-23,Heerenveen (NED),ISU World Cup #1,f,2020,1500
17,Sato,Ayano,JPN,"1.55,75",2021-02-21,Hachinohe - YS Arena (JPN),Japan - Unofficial Championships 2021,f,2020,1500
18,Beune,Joy,NED,"1.55,89",2021-01-17,Heerenveen (NED),European Championships 2021,f,2020,1500
19,Aydova,Yekaterina,KAZ,"1.56,07",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,1500
20,Oshigiri,Misaki,JPN,"1.56,48",2021-03-06,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,1500
21,Kachanova,Daria,RUS,"1.56,82",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
22,Groenewoud,Marijke,NED,"1.56,85",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
23,Goetz,Kimi,USA,"1.56,86",2021-02-27,Salt Lake City (USA),Time Trials,f,2020,1500
24,Zdráhalová,Nikola,CZE,"1.56,87",2021-01-17,Heerenveen (NED),European Championships 2021,f,2020,1500
25,Anema,Reina,NED,"1.56,97",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
26,Eranina,Elena,RUS,"1.57,10",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
27,Lollobrigida,Francesca,ITA,"1.57,29",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,1500
28,Njåtun,Ida,NOR,"1.57,31",2021-01-17,Heerenveen (NED),European Championships 2021,f,2020,1500
29,Leerdam,Jutta,NED,"1.57,41",2020-10-10,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2020,1500
29,Maltais,Valerie,CAN,"1.57,41",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,1500
31,Lancee,Gioya,NED,"1.57,69",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
32,Weidemann,Isabelle,CAN,"1.57,74",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
33,Hijlkema,Aveline,NED,"1.57,78",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
34,Dul,Elisa,NED,"1.57,81",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
35,Blondin,Ivanie,CAN,"1.57,89",2021-02-27,Inzell (GER),Internationales Rennen,f,2020,1500
36,Onodera,Yuna,JPN,"1.58,17",2020-10-25,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1500
37,Bocox,Brianna,USA,"1.58,29",2021-01-09,Salt Lake City (USA),Super Salty Cup,f,2020,1500
38,Kiel,Esther,NED,"1.58,34",2020-10-24,Heerenveen (NED),Oefensessie Deel 2,f,2020,1500
39,Groot,Robin,NED,"1.58,36",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
40,van Beek,Lotte,NED,"1.58,38",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
41,Bosiek,Karolina,POL,"1.58,39",2021-01-23,Heerenveen (NED),ISU World Cup #1,f,2020,1500
42,Sloeva,Ekaterina,BLR,"1.58,51",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
43,Kosaka,Rin,JPN,"1.58,55",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
44,Horikawa,Momoka,JPN,"1.58,56",2021-01-09,Hachinohe - YS Arena (JPN),Japan - Junior Championships 2021,f,2020,1500
45,de Neeling,Sanneke,NED,"1.58,57",2020-12-12,Heerenveen (NED),Oefensessie 8,f,2020,1500
46,Blokker,Roza,NED,"1.58,59",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
47,Voronina,Natalia,RUS,"1.58,66",2021-01-17,Heerenveen (NED),European Championships 2021,f,2020,1500
48,Yamada,Rio,JPN,"1.58,89",2020-10-25,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1500
49,Conijn,Merel,NED,"1.58,98",2020-11-22,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,1500
50,Lamarche,Béatrice,CAN,"1.58,99",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,1500
51,Zueva,Marina,BLR,"1.59,03",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
52,van Elst,Isabelle,BEL,"1.59,22",2020-12-12,Heerenveen (NED),Oefensessie 8,f,2020,1500
53,Vijn,Evelien,NED,"1.59,25",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
54,Bats,Leonie,NED,"1.59,31",2021-02-07,Heerenveen (NED),KNSB TalentTeams Oefensessie 2,f,2020,1500
55,Haugen,Sofie Karoline,NOR,"1.59,42",2021-01-23,Heerenveen (NED),ISU World Cup #1,f,2020,1500
56,Verhaar,Paulien,NED,"1.59,73",2020-11-22,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,1500
57,in 't Hof,Sanne,NED,"1.59,76",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
58,McCluskey,Abigail,CAN,"1.59,77",2021-01-30,Heerenveen (NED),ISU World Cup #2,f,2020,1500
59,Tsujimoto,Arisa,JPN,"2.00,09",2020-11-22,Hachinohe - YS Arena (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,1500
60,Achtereekte,Carlijn,NED,"2.00,20",2020-10-24,Heerenveen (NED),Oefensessie Deel 1,f,2020,1500
61,Thum,Mareike,GER,"2.00,23",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,1500
62,de Boer,Myrthe,NED,"2.00,31",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
63,Kikuchi,Sumire,JPN,"2.00,33",2020-10-25,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1500
64,Behlau,Leia,GER,"2.00,42",2021-02-27,Inzell (GER),Internationales Rennen,f,2020,1500
65,Yin,Qi,CHN,"2.00,43",2021-04-10,Beijing-National (CHN),Olympic Test,f,2020,1500
66,Smit,Pien,NED,"2.00,49",2021-01-09,Heerenveen (NED),KNSB TalentTeams Oefensessie 1,f,2020,1500
67,Takahashi,Nana,JPN,"2.00,69",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
68,Heimerl,Josephine,GER,"2.01,05",2020-12-12,Inzell (GER),International Race,f,2020,1500
69,Schwartzburg,Paige,USA,"2.01,10",2020-11-14,Salt Lake City (USA),Salty Cup #1,f,2020,1500
70,Dedden,Ineke,NED,"2.01,16",2020-12-26,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,1500
71,Sakai,Nene,JPN,"2.01,21",2020-11-15,Obihiro (JPN),2020/2021 All Japan Selected Speed Skating Competition,f,2020,1500
72,Sokhryakova,Elena,RUS,"2.01,48",2020-10-31,Kolomna,Russia - Single Distances Championships 2021,f,2020,1500
72,Kerkhoff,Bente,NED,"2.01,48",2021-01-09,Heerenveen (NED),KNSB TalentTeams Oefensessie 1,f,2020,1500
74,Tas,Sandrine,BEL,"2.01,67",2020-12-14,Heerenveen (NED),Oefensessie 6 KTT Noord / STF-Gewest Fryslan,f,2020,1500
75,Han,Mei,CHN,"2.01,78",2021-04-10,Beijing-National (CHN),Olympic Test,f,2020,1500
76,Visser,Esmee,NED,"2.01,82",2020-11-22,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,1500
77,Groenewoud,Jade,NED,"2.01,98",2021-02-20,Heerenveen (NED),Oefensessie Junioren A/B,f,2020,1500
78,Rossi,Linda,ITA,"2.01,99",2021-02-14,Heerenveen (NED),World Championships 2021,f,2020,1500
79,Miyagawa,Suzuka,JPN,"2.02,02",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
80,Grigoreva,Anastasiia,RUS,"2.02,34",2021-03-19,Kolomna,National Student Competition,f,2020,1500
81,Takahashi,Yuka,JPN,"2.02,35",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
82,Kosheleva,Ekaterina,RUS,"2.02,47",2020-10-31,Kolomna,Russia - Single Distances Championships 2021,f,2020,1500
83,Jonkers,Sterre,NED,"2.02,49",2020-11-22,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,1500
84,Mikhailava,Tatsiana,BLR,"2.02,55",2020-12-12,Minsk,Skating Union of Belarus Cup #3,f,2020,1500
85,Drost,Helga,NED,"2.02,56",2020-10-10,Heerenveen (NED),Trainingswedstrijd KNSB- en Topteams,f,2020,1500
86,Golikova,Angelina,RUS,"2.02,58",2020-12-24,Kolomna,Kolomna Speed Skating Center Prize,f,2020,1500
87,Jabrzyk,Natalia,POL,"2.02,75",2021-02-27,Tomaszów-Mazowiecki (POL),Puchar Polski - Finał,f,2020,1500
88,Yazawa,Akari,JPN,"2.02,91",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
89,Warren,Sarah,USA,"2.02,94",2021-02-27,Salt Lake City (USA),Time Trials,f,2020,1500
90,Sayutina,Aleksandra,RUS,"2.02,95",2021-03-19,Kolomna,National Student Competition,f,2020,1500
91,Jurak,Jamie,USA,"2.02,96",2021-03-05,Salt Lake City (USA),USA - Open National Championships 2021,f,2020,1500
92,Kitahara,Moe,JPN,"2.02,98",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
93,Tomita,Yuuka,JPN,"2.02,99",2020-10-25,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,1500
94,Yamane,Kako,JPN,"2.03,02",2020-11-06,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,1500
95,Fukuda,Kotone,JPN,"2.03,04",2020-10-25,Nagano (JPN),Japan - Junior Single Distances Championships 2021,f,2020,1500
96,Abe,Yuka,JPN,"2.03,08",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
97,Talsma,Kim,NED,"2.03,09",2020-10-04,Inzell (GER),International Race,f,2020,1500
98,Matsuzawa,Yukari,JPN,"2.03,13",2020-11-06,Obihiro (JPN),2020 Obihiro Forest Speed Skating Competition,f,2020,1500
99,Czyszczoń,Magdalena,POL,"2.03,17",2020-10-04,Inzell (GER),International Race,f,2020,1500
100,Karai,Maho,JPN,"2.03,24",2021-02-13,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,1500
1,Voronina,Natalia,RUS,"3.56,85",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
2,Schouten,Irene,NED,"3.57,15",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
3,Rijpma-de Jong,Antoinette,NED,"3.57,32",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
4,Sáblíková,Martina,CZE,"3.58,57",2021-02-11,Heerenveen (NED),World Championships 2021,f,2020,3000
5,Beune,Joy,NED,"3.58,90",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
6,Wiklund,Ragne,NOR,"3.58,95",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
7,Weidemann,Isabelle,CAN,"3.59,43",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
8,Anema,Reina,NED,"4.01,12",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
9,Achtereekte,Carlijn,NED,"4.01,35",2020-12-12,Heerenveen (NED),Oefensessie 8,f,2020,3000
10,Wijfje,Melissa,NED,"4.01,55",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
11,Takagi,Miho,JPN,"4.01,67",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
12,Visser,Esmee,NED,"4.02,23",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
13,Lollobrigida,Francesca,ITA,"4.02,79",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
14,Maltais,Valerie,CAN,"4.03,00",2021-02-11,Heerenveen (NED),World Championships 2021,f,2020,3000
15,Sato,Ayano,JPN,"4.03,36",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
16,Wüst,Ireen,NED,"4.03,53",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
17,Lalenkova,Evgeniia,RUS,"4.03,61",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
18,Oshigiri,Misaki,JPN,"4.05,20",2021-03-07,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,3000
19,Zueva,Marina,BLR,"4.05,52",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
20,Czyszczoń,Magdalena,POL,"4.05,60",2020-10-03,Inzell (GER),International Race,f,2020,3000
21,Pechstein,Claudia,GER,"4.05,61",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
22,Golubeva,Elizaveta,KAZ,"4.06,09",2021-01-16,Heerenveen (NED),European Championships 2021,f,2020,3000
23,Takagi,Nana,JPN,"4.06,11",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
24,Lancee,Gioya,NED,"4.06,25",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
25,Hijlkema,Aveline,NED,"4.06,70",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
26,Morozova,Nadezhda,KAZ,"4.06,73",2021-02-11,Heerenveen (NED),World Championships 2021,f,2020,3000
27,Vijn,Evelien,NED,"4.06,76",2020-10-03,Inzell (GER),International Race,f,2020,3000
28,Manganello,Mia,USA,"4.06,83",2021-02-27,Salt Lake City (USA),Time Trials,f,2020,3000
29,in 't Hof,Sanne,NED,"4.06,97",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
30,ter Mors,Jorien,NED,"4.07,65",2020-11-21,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,3000
31,Haugen,Sofie Karoline,NOR,"4.07,71",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
32,Conijn,Merel,NED,"4.08,03",2020-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2021,f,2020,3000
33,Kiel,Esther,NED,"4.08,36",2020-11-21,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,3000
34,Thum,Mareike,GER,"4.08,39",2021-02-11,Heerenveen (NED),World Championships 2021,f,2020,3000
35,Eranina,Elena,RUS,"4.08,59",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
36,Sloeva,Ekaterina,BLR,"4.08,69",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
37,Zdráhalová,Nikola,CZE,"4.09,13",2021-02-11,Heerenveen (NED),World Championships 2021,f,2020,3000
38,Blokker,Roza,NED,"4.09,23",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
39,Verweij,Maaike,NED,"4.09,49",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
40,Kosaka,Rin,JPN,"4.09,68",2021-03-07,Hachinohe - YS Arena (JPN),2021 Nagane Final Competition,f,2020,3000
41,Czerwonka,Natalia,POL,"4.09,76",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
42,Groot,Robin,NED,"4.09,86",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
43,Dedden,Ineke,NED,"4.09,87",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
44,Horikawa,Momoka,JPN,"4.10,18",2021-01-10,Hachinohe - YS Arena (JPN),Japan - Junior Championships 2021,f,2020,3000
45,McCluskey,Abigail,CAN,"4.10,31",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
46,Njåtun,Ida,NOR,"4.10,41",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
47,Bøhm,Marit Fjellanger,NOR,"4.10,66",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
48,Onodera,Yuna,JPN,"4.10,67",2020-10-23,Nagano (JPN),Japan - Single Distances Championships 2021,f,2020,3000
49,Rossi,Linda,ITA,"4.11,20",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
50,Groenewoud,Marijke,NED,"4.11,58",2020-11-21,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,3000
51,Sakai,Nene,JPN,"4.12,18",2021-02-11,Nagano (JPN),2020/2021 All Japan Selected Nagano Tournament,f,2020,3000
52,Grigoreva,Anastasiia,RUS,"4.12,23",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
53,Williamson,Lemi,JPN,"4.12,94",2020-12-28,Obihiro (JPN),Japan - National Championships 2021,f,2020,3000
54,Bosiek,Karolina,POL,"4.13,46",2020-10-03,Inzell (GER),International Race,f,2020,3000
55,Jonkers,Sterre,NED,"4.13,67",2020-11-21,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,3000
56,Sokhryakova,Elena,RUS,"4.13,72",2020-10-21,Kolomna,Russian Skating Union Cup,f,2020,3000
57,Jansen,Eline,NED,"4.13,73",2021-02-21,Heerenveen (NED),Oefensessie Junioren A/B,f,2020,3000
58,Verhaar,Paulien,NED,"4.13,95",2020-11-21,Heerenveen (NED),Netherlands - Allround Championships 2021,f,2020,3000
59,Kerkhoff,Bente,NED,"4.14,61",2020-12-27,Heerenveen (NED),WK Kwalificatie Toernooi,f,2020,3000
60,Tas,Sandrine,BEL,"4.14,77",2021-01-31,Heerenveen (NED),ISU World Cup #2,f,2020,3000
61,Kerschbaummayr,Natálie,AUT,"4.15,12",2021-01-24,Heerenveen (NED),ISU World Cup #1,f,2020,3000
