Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
56,Sáblíková,Martina,CZE,"39,23",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
57,Joling,Marije,NED,"39,24",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
57,Takagi,Miho,JPN,"39,24",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
59,de Vries,Linda,NED,"39,26",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
60,Risku,Elina,FIN,"39,28",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,500
61,Fiset,Noémie,CAN,"39,30",2014-10-25,Calgary (CAN),World Cup Trials,f,2014,500
62,Kamminga,Manon,NED,"39,35",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
63,Arshinova,Irina,RUS,"39,38",2015-01-11,Kolomna,Russia Cup 4,f,2014,500
64,Gunther,Kelly,USA,"39,40",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,500
65,Kim,Min-Jo,KOR,"39,41",2015-03-14,Seoul (KOR),50th Memorial Competition,f,2014,500
66,Pater,Rosa,NED,"39,43",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
66,Złotkowska,Luiza,POL,"39,43",2015-02-28,Calgary (CAN),Time Trials,f,2014,500
68,Zhang,Yue,CHN,"39,45",2014-09-27,Calgary (CAN),Fall Classic,f,2014,500
68,Matsuda,Yuki,JPN,"39,45",2014-11-08,Obihiro (JPN),Japan Cup 1,f,2014,500
70,Plate,Jennifer,GER,"39,46",2015-02-28,Inzell (GER),International German Open 2015,f,2014,500
71,Li,Dan,CHN,"39,49",2014-10-18,Changchun (CHN),China Cup 2,f,2014,500
71,van Beek,Lotte,NED,"39,49",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
73,Li,Xue,CHN,"39,50",2014-09-26,Calgary (CAN),Fall Classic,f,2014,500
73,Kachanova,Daria,RUS,"39,50",2015-01-10,Kolomna,Russia Cup 4,f,2014,500
75,Klijnstra,Moniek,NED,"39,53",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
76,Bradford,Rebekah,USA,"39,54",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,500
77,Franzen,Katja,GER,"39,56",2015-02-28,Inzell (GER),International German Open 2015,f,2014,500
78,Karannikova,Tatyana,RUS,"39,57",2015-02-21,Moscow,Russia - Sprint Championships 2015,f,2014,500
79,van Rijn,Emma,NED,"39,60",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
80,An,Shanna,CHN,"39,61",2014-12-21,Changchun (CHN),China - Sprint Championships 2015,f,2014,500
80,Beuling,Femke,NED,"39,61",2015-01-30,Heerenveen (NED),Vikingrace 2015,f,2014,500
80,Bøkko,Hege,NOR,"39,61",2015-03-13,Stavanger (NOR),Norway - Single Distances Championships 2015,f,2014,500
83,Liu,Jing,CHN,"39,62",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
84,Sha,Yuning,CHN,"39,63",2014-12-20,Changchun (CHN),China - Sprint Championships 2015,f,2014,500
85,Soga,Konami,JPN,"39,64",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
86,Toi,Saori,JPN,"39,66",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
87,van der Weijden,Annouk,NED,"39,68",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,500
87,Kim,Min-Ji,KOR,"39,68",2015-02-25,Seoul (KOR),96th National Winter Sports Festival,f,2014,500
89,Hanly,Kate,CAN,"39,71",2015-02-21,Calgary (CAN),Time Trials,f,2014,500
90,Poelzer,Keira,CAN,"39,72",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
91,Voorhuis,Jorien,NED,"39,73",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,500
91,Sadouskaya,Kseniya,BLR,"39,73",2015-01-25,Minsk,Igor Zhelezovski Prize,f,2014,500
93,Tsujimoto,Arisa,JPN,"39,74",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
94,Asano,Miku,JPN,"39,75",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,500
95,Nam,Ye-Won,KOR,"39,76",2015-01-05,Seoul (KOR),45th Presidents Cup,f,2014,500
96,Mikhailava,Tatsiana,BLR,"39,77",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
96,Voronina,Natalia,RUS,"39,77",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
98,Murashova,Evgeniya,RUS,"39,78",2014-11-08,Kolomna,Moscow Region Open Championship,f,2014,500
98,Ryzhova,Margarita,RUS,"39,78",2015-02-21,Moscow,Russia - Sprint Championships 2015,f,2014,500
100,Kuroiwa,Mio,JPN,"39,79",2014-11-14,Obihiro (JPN),ISU World Cup,f,2014,500
100,Fujimori,Miki,JPN,"39,79",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,500
100,Zhang,Xin,CHN,"39,79",2015-02-08,Heerenveen (NED),ISU World Cup,f,2014,500
1,Bowe,Brittany,USA,"1.12,91",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,1000
2,Bergsma,Heather,USA,"1.13,76",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,1000
3,Njåtun,Ida,NOR,"1.15,07",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
4,Leenstra,Marrit,NED,"1.15,17",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
5,Erbanová,Karolina,CZE,"1.15,26",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
6,Wüst,Ireen,NED,"1.15,28",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
7,Li,Qishi,CHN,"1.15,50",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
8,Irvine,Kaylin,CAN,"1.15,60",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
9,Christ,Kali,CAN,"1.15,64",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
10,Zhang,Hong,CHN,"1.15,77",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
11,Dannhauer,Judith,GER,"1.15,86",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
12,de Jong,Letitia,NED,"1.15,93",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
13,Aydova,Yekaterina,KAZ,"1.16,01",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
14,Herzog,Vanessa,AUT,"1.16,08",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
15,Kodaira,Nao,JPN,"1.16,11",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
