ID,Family Name,Given Name,Gender
14442,Yamada,Mai,f
17775,Chernega,Olesya,f
17924,Han,Fang,f
18158,Radionik,Evgeniya,f
26860,Gorter,Laura,f
11448,Elzinga,Janneke,f
4314,Tørset,Nina,f
23441,Farestveit,Caroline Hallås,f
98271,Veen-Milatz,Liesbeth,f
10661,van Emmerik,Manouk,f
11995,Gerritsma,Tialda,f
10904,van Bijlert-Burgerhout,Sandra,f
13959,Palmertz Cerne,Karolin,f
12264,van Leeuwe,Sieta,f
23225,Vonk,Demi,f
26695,Haug,Kathrine,f
4700,Maerten-van der Kieft,Anouk,f
26036,van der Hulst,Denise,f
12324,Fryckberg,Elin,f
14994,Stoete,Maité,f
14574,Tollefsen,Greta,f
37204,Wallinga,Jeike,f
24118,Reijne,Madelon,f
13378,Teunisse,Arlieke,f
1775,Fossdal,Guri,f
22314,Kuldvere,Viola,f
49744,Vangen Stensvaag,Susanne,f
8258,Hope,May Ingela,f
38421,Brekke,Therese Staal,f
16279,Riktor,Marit Dalseth,f
40725,Lund,Siri Gihle,f
29285,ter Mors,Jorien,f
5040,Kamiya,Erina,f
1257,Bucsis,Anastasia,f
342,Shikhova,Yekaterina,f
19853,Ripsrud,Martine,f
23014,Park,Soo-Jin,f
30367,Shi,Xiaoxuan,f
42947,Lin,Xue,f
2735,Tandiman,Jerica,f
30377,Qin,Yangyang,f
18038,van den Berge,Bente,f
24522,Schulting,Suzanne,f
13077,Arai,Yukari,f
3002,Tutt,Brianne,f
612,Lobysheva,Ekaterina,f
1986,Czerwonka,Natalia,f
24954,Bettrone,Francesca,f
8256,Bjertnes,Ellen,f
235,Manganello,Mia,f
27975,Yamada,Rio,f
20345,Pearman,Maddison,f
38671,Morrison,Keri,f
6006,Lalenkova,Evgeniia,f
30528,Tian,Ruining,f
55090,Kalashnikova,Aleksandra,f
10110,Acker,Petra,f
18201,Novotná,Kateřina,f
31262,Lamarche,Béatrice,f
20298,Matsuzawa,Yukari,f
45575,Kerschbaummayr,Natálie,f
20176,Markus,Femke,f
9634,Berentschot,Julia,f
11104,Boer,Annemarie,f
13316,Czyszczoń,Magdalena,f
