,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
57,57,Takagi,Miho,JPN,"39,24",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
58,59,de Vries,Linda,NED,"39,26",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
59,60,Risku,Elina,FIN,"39,28",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,500
60,61,Fiset,Noémie,CAN,"39,30",2014-10-25,Calgary (CAN),World Cup Trials,f,2014,500
61,62,Kamminga,Manon,NED,"39,35",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
62,63,Arshinova,Irina,RUS,"39,38",2015-01-11,Kolomna,Russia Cup 4,f,2014,500
63,64,Gunther,Kelly,USA,"39,40",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,500
64,65,Kim,Min-Jo,KOR,"39,41",2015-03-14,Seoul (KOR),50th Memorial Competition,f,2014,500
65,66,Pater,Rosa,NED,"39,43",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
66,66,Złotkowska,Luiza,POL,"39,43",2015-02-28,Calgary (CAN),Time Trials,f,2014,500
67,68,Zhang,Yue,CHN,"39,45",2014-09-27,Calgary (CAN),Fall Classic,f,2014,500
68,68,Matsuda,Yuki,JPN,"39,45",2014-11-08,Obihiro (JPN),Japan Cup 1,f,2014,500
69,70,Plate,Jennifer,GER,"39,46",2015-02-28,Inzell (GER),International German Open 2015,f,2014,500
70,71,Li,Dan,CHN,"39,49",2014-10-18,Changchun (CHN),China Cup 2,f,2014,500
71,71,van Beek,Lotte,NED,"39,49",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
72,73,Li,Xue,CHN,"39,50",2014-09-26,Calgary (CAN),Fall Classic,f,2014,500
73,73,Kachanova,Daria,RUS,"39,50",2015-01-10,Kolomna,Russia Cup 4,f,2014,500
74,75,Klijnstra,Moniek,NED,"39,53",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
75,76,Bradford,Rebekah,USA,"39,54",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,500
76,77,Franzen,Katja,GER,"39,56",2015-02-28,Inzell (GER),International German Open 2015,f,2014,500
77,78,Karannikova,Tatyana,RUS,"39,57",2015-02-21,Moscow,Russia - Sprint Championships 2015,f,2014,500
78,79,van Rijn,Emma,NED,"39,60",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
79,80,An,Shanna,CHN,"39,61",2014-12-21,Changchun (CHN),China - Sprint Championships 2015,f,2014,500
80,80,Beuling,Femke,NED,"39,61",2015-01-30,Heerenveen (NED),Vikingrace 2015,f,2014,500
81,80,Bøkko,Hege,NOR,"39,61",2015-03-13,Stavanger (NOR),Norway - Single Distances Championships 2015,f,2014,500
82,83,Liu,Jing,CHN,"39,62",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
83,84,Sha,Yuning,CHN,"39,63",2014-12-20,Changchun (CHN),China - Sprint Championships 2015,f,2014,500
84,85,Soga,Konami,JPN,"39,64",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
85,86,Toi,Saori,JPN,"39,66",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
86,87,van der Weijden,Annouk,NED,"39,68",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,500
87,87,Kim,Min-Ji,KOR,"39,68",2015-02-25,Seoul (KOR),96th National Winter Sports Festival,f,2014,500
88,89,Hanly,Kate,CAN,"39,71",2015-02-21,Calgary (CAN),Time Trials,f,2014,500
89,90,Poelzer,Keira,CAN,"39,72",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
90,91,Voorhuis,Jorien,NED,"39,73",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,500
91,91,Sadouskaya,Kseniya,BLR,"39,73",2015-01-25,Minsk,Igor Zhelezovski Prize,f,2014,500
92,93,Tsujimoto,Arisa,JPN,"39,74",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
93,94,Asano,Miku,JPN,"39,75",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,500
94,95,Nam,Ye-Won,KOR,"39,76",2015-01-05,Seoul (KOR),45th Presidents Cup,f,2014,500
95,96,Mikhailava,Tatsiana,BLR,"39,77",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
96,96,Voronina,Natalia,RUS,"39,77",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
97,98,Murashova,Evgeniya,RUS,"39,78",2014-11-08,Kolomna,Moscow Region Open Championship,f,2014,500
98,98,Ryzhova,Margarita,RUS,"39,78",2015-02-21,Moscow,Russia - Sprint Championships 2015,f,2014,500
99,100,Kuroiwa,Mio,JPN,"39,79",2014-11-14,Obihiro (JPN),ISU World Cup,f,2014,500
100,100,Fujimori,Miki,JPN,"39,79",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,500
101,100,Zhang,Xin,CHN,"39,79",2015-02-08,Heerenveen (NED),ISU World Cup,f,2014,500
102,1,Bowe,Brittany,USA,"1.12,91",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,1000
103,2,Bergsma,Heather,USA,"1.13,76",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,1000
104,3,Njåtun,Ida,NOR,"1.15,07",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
105,4,Leenstra,Marrit,NED,"1.15,17",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
106,5,Erbanová,Karolina,CZE,"1.15,26",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
107,6,Wüst,Ireen,NED,"1.15,28",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
108,7,Li,Qishi,CHN,"1.15,50",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
109,8,Irvine,Kaylin,CAN,"1.15,60",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
110,9,Christ,Kali,CAN,"1.15,64",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
111,10,Zhang,Hong,CHN,"1.15,77",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
112,11,Dannhauer,Judith,GER,"1.15,86",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
113,12,de Jong,Letitia,NED,"1.15,93",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
114,13,Aydova,Yekaterina,KAZ,"1.16,01",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
115,14,Herzog,Vanessa,AUT,"1.16,08",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
116,15,Kodaira,Nao,JPN,"1.16,11",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
117,16,van Riessen,Laurine,NED,"1.16,15",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
118,17,van Beek,Lotte,NED,"1.16,19",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
119,18,Złotkowska,Luiza,POL,"1.16,22",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
120,19,Blondin,Ivanie,CAN,"1.16,24",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
121,20,Fatkulina,Olga,RUS,"1.16,28",2014-12-13,Heerenveen (NED),ISU World Cup,f,2014,1000
122,21,Boer,Margot,NED,"1.16,33",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
123,22,Lee,Sang-Hwa,KOR,"1.16,40",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
124,23,Kamminga,Manon,NED,"1.16,66",2014-10-11,Inzell (GER),International Season Opening,f,2014,1000
125,24,de Neeling,Sanneke,NED,"1.16,68",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
126,25,de Vries,Linda,NED,"1.16,74",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
127,26,Ianculescu,Alexandra,CAN,"1.16,75",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
128,27,van Hemert,Roxanne,NED,"1.16,84",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
129,28,Kikuchi,Ayaka,JPN,"1.16,87",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
130,29,Takagi,Nana,JPN,"1.16,92",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
131,29,Hanly,Kate,CAN,"1.16,92",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
132,31,Park,Seung-Hi,KOR,"1.16,93",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
133,32,Smit,Janine,NED,"1.16,94",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
134,33,Skokova,Yuliya,RUS,"1.16,96",2014-10-30,Moscow,Moscow Open Cup / World Cup Qualifier,f,2014,1000
135,34,Gunther,Kelly,USA,"1.17,02",2015-03-07,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1000
136,35,Todd,Sugar,USA,"1.17,13",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
137,36,Oenema,Thijsje,NED,"1.17,16",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
138,37,Gerritsen,Annette,NED,"1.17,18",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
139,38,Gregg,Jessica,CAN,"1.17,20",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
140,39,Carruthers,Heather,CAN,"1.17,24",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
141,40,Wijfje,Melissa,NED,"1.17,28",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
142,40,Hirschbichler,Gabriele,GER,"1.17,28",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
143,42,van der Werff,Bo,NED,"1.17,38",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
144,43,van den Brandt,Floor,NED,"1.17,45",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
145,44,Oudenaarden,Tamara,CAN,"1.17,53",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,f,2014,1000
146,45,Rempel,Shannon,CAN,"1.17,74",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
147,46,Ryzhova,Margarita,RUS,"1.17,76",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
148,47,Toi,Saori,JPN,"1.17,77",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
149,48,Sumiyoshi,Miyako,JPN,"1.17,91",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
150,49,Bøkko,Hege,NOR,"1.17,97",2015-02-07,Heerenveen (NED),ISU World Cup,f,2014,1000
151,50,van der Weijden,Annouk,NED,"1.17,99",2015-02-08,Heerenveen (NED),ISU World Cup,f,2014,1000
152,51,Aseeva,Nadezhda,RUS,"1.18,06",2014-11-15,Obihiro (JPN),ISU World Cup,f,2014,1000
153,52,Sun,Nan,CHN,"1.18,09",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
154,52,Takagi,Miho,JPN,"1.18,09",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
155,54,Joling,Marije,NED,"1.18,11",2014-10-25,Heerenveen (NED),Trainingswedstrijd KNSB- en Merkenteams,f,2014,1000
156,55,Fujimori,Miki,JPN,"1.18,12",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
157,56,Rijpma-de Jong,Antoinette,NED,"1.18,14",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
158,57,Das,Anice,NED,"1.18,16",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
159,58,Schwartzburg,Paige,USA,"1.18,17",2015-03-07,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1000
160,59,Tabata,Maki,JPN,"1.18,20",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
161,60,Li,Huawei,CHN,"1.18,23",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
162,61,Morrison,Josie,CAN,"1.18,24",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
163,62,Weidemann,Isabelle,CAN,"1.18,26",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
164,63,Hudey,Marsha,CAN,"1.18,28",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
165,63,Fiset,Noémie,CAN,"1.18,28",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
166,65,Sha,Yuning,CHN,"1.18,30",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
167,65,Matsuda,Yuki,JPN,"1.18,30",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
168,67,Jang,Mee,KOR,"1.18,32",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
169,68,Golubeva,Elizaveta,KAZ,"1.18,34",2015-01-10,Kolomna,Russia Cup 4,f,2014,1000
170,68,Ost,Isabell,GER,"1.18,34",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
171,70,Tsuji,Maki,JPN,"1.18,39",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
172,71,Arshinova,Irina,RUS,"1.18,42",2015-01-10,Kolomna,Russia Cup 4,f,2014,1000
173,72,Golikova,Angelina,RUS,"1.18,46",2014-10-18,Kolomna,Russia Cup 1,f,2014,1000
174,72,Valkenburg,Diane,NED,"1.18,46",2015-01-17,Heerenveen (NED),Trainingswedstrijd JO en Merkenteams,f,2014,1000
175,72,Achtereekte,Carlijn,NED,"1.18,46",2015-02-07,Inzell (GER),Bayerische Meisterschaften 2015,f,2014,1000
176,75,Park,Seung-Joo,KOR,"1.18,52",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
177,76,Yu,Jing,CHN,"1.18,53",2014-12-21,Changchun (CHN),China - Sprint Championships 2015,f,2014,1000
178,77,Schouten,Irene,NED,"1.18,67",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
179,78,Roth,Denise,GER,"1.18,69",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
180,79,Shabanova,Alla,RUS,"1.18,72",2014-11-09,Kolomna,Moscow Region Open Championship,f,2014,1000
181,80,Kachurkina,Alexandra,RUS,"1.18,74",2015-03-07,Kolomna,Russia Cup,f,2014,1000
182,81,Pechstein,Claudia,GER,"1.18,76",2015-01-24,Berlin (GER),Germany - Sprint Championships 2015,f,2014,1000
183,82,Li,Xue,CHN,"1.18,77",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
184,83,Go,Arisa,JPN,"1.18,81",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
185,84,Voronina,Natalia,RUS,"1.18,85",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
186,85,Klijnstra,Moniek,NED,"1.18,86",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
187,86,Kim,Hyun-Yung,KOR,"1.18,87",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
188,86,Kuipers,Mayon,NED,"1.18,87",2014-10-11,Inzell (GER),International Season Opening,f,2014,1000
189,88,Nauta,Yvonne,NED,"1.18,96",2014-10-25,Heerenveen (NED),Trainingswedstrijd KNSB- en Merkenteams,f,2014,1000
190,89,Sáblíková,Martina,CZE,"1.19,00",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
191,90,Yamane,Kako,JPN,"1.19,02",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
192,91,Pater,Rosa,NED,"1.19,07",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
193,92,Kim,Min-Sun,KOR,"1.19,08",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
194,93,Zhang,Xin,CHN,"1.19,09",2015-02-07,Heerenveen (NED),ISU World Cup,f,2014,1000
195,94,Dufter,Roxane,GER,"1.19,10",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
196,95,Sato,Ayano,JPN,"1.19,15",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,1000
197,96,Plate,Jennifer,GER,"1.19,17",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
198,97,Fu,Chunyan,CHN,"1.19,20",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
199,98,Liu,Jing,CHN,"1.19,21",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
200,98,van Elst,Isabelle,BEL,"1.19,21",2015-01-31,Heerenveen (NED),Vikingrace 2015,f,2014,1000
201,100,Anema,Reina,NED,"1.19,27",2014-10-11,Inzell (GER),International Season Opening,f,2014,1000
202,100,Abe,Yuka,JPN,"1.19,27",2014-10-26,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1000
203,100,Murashova,Evgeniya,RUS,"1.19,27",2015-01-11,Kolomna,Russia Cup 4,f,2014,1000
204,100,Uhrig,Michelle,GER,"1.19,27",2015-02-28,Inzell (GER),International German Open 2015,f,2014,1000
205,1,Njåtun,Ida,NOR,"1.52,71",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
206,2,Bergsma,Heather,USA,"1.53,42",2014-10-25,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,1500
207,3,Bowe,Brittany,USA,"1.53,50",2015-01-10,Milwaukee (USA),USA - Long Track Championships 2015,f,2014,1500
208,4,Wüst,Ireen,NED,"1.54,28",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
209,5,Christ,Kali,CAN,"1.54,44",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
210,6,Sáblíková,Martina,CZE,"1.54,55",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
211,7,de Vries,Linda,NED,"1.55,57",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
212,8,Leenstra,Marrit,NED,"1.55,90",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1500
213,9,Skokova,Yuliya,RUS,"1.56,30",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
214,10,Pechstein,Claudia,GER,"1.56,35",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
215,11,Takagi,Nana,JPN,"1.56,46",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
216,12,Złotkowska,Luiza,POL,"1.56,50",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
217,13,Takagi,Miho,JPN,"1.56,83",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
218,14,Joling,Marije,NED,"1.56,85",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1500
219,14,Blondin,Ivanie,CAN,"1.56,85",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
220,16,Li,Qishi,CHN,"1.56,88",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
221,17,Zhao,Xin,CHN,"1.57,44",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
222,18,Rijpma-de Jong,Antoinette,NED,"1.57,54",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1500
223,19,Kikuchi,Ayaka,JPN,"1.57,61",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
224,20,Wijfje,Melissa,NED,"1.57,62",2014-07-25,Inzell (GER),National Races DESG,f,2014,1500
225,21,Voorhuis,Jorien,NED,"1.57,86",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
226,22,Graf,Olga,RUS,"1.57,95",2014-10-29,Moscow,Moscow Open Cup / World Cup Qualifier,f,2014,1500
227,23,Nauta,Yvonne,NED,"1.58,09",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
228,24,Voronina,Natalia,RUS,"1.58,11",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
229,25,Achtereekte,Carlijn,NED,"1.58,32",2015-01-31,Hamar (NOR),ISU World Cup,f,2014,1500
