0,1
1370,February 1982 (L40)
9569,September 1992 (L30)
9576,October 1992 (L30)
17775,December 1992 (L30)
17776,October 1994 (M30)
34169,August 1996 (MSA)
17787,October 1994 (L30)
1404,January 1990 (L35)
25979,November 1997 (LSA)
9596,November 1991 (M30)
25991,May 1998 (MSA)
9615,November 1992 (M30)
25999,December 1999 (MSA)
1433,March 1986 (M35)
1434,December 1985 (M35)
9627,February 1994 (M30)
26012,April 2000 (MSA)
26014,July 1998 (MSA)
9632,July 1993 (L30)
9634,February 1994 (L30)
9636,December 1993 (L30)
26026,March 1998 (LSA)
26027,September 1997 (LSA)
1456,November 1983 (M40)
9650,June 1991 (M30)
1459,March 1978 (L45)
9653,January 1996 (LSA)
9657,October 1994 (L30)
9662,March 1988 (M35)
42437,August 1997 (MSA)
58827,December 2005 (MA2)
83407,July 2002 (LN3)
67035,May 2006 (MA2)
42470,April 1997 (LSA)
67058,February 2004 (LN2)
67070,March 2005 (LN1)
67071,March 2005 (LN1)
17924,May 1989 (L35)
26117,February 1999 (MSA)
1549,February 1987 (M35)
17942,October 1997 (MSA)
17948,September 1993 (M30)
50719,February 2002 (LN4)
17952,August 1993 (L30)
34342,February 1995 (M30)
26153,October 2001 (MN4)
26164,December 1995 (MSA)
17973,November 1994 (M30)
1592,January 1981 (M40)
26168,April 1997 (MSA)
42554,July 2001 (MN4)
1598,May 1986 (L35)
50769,January 2005 (MN1)
1623,June 1987 (L35)
1625,April 1982 (M40)
18013,October 1998 (MSA)
18025,December 1995 (MSA)
18036,April 1995 (L30)
18038,July 1994 (L30)
18046,July 1999 (LSA)
59013,Female
59019,Male
59020,May 2004 (MN2)
59024,Male
42649,Female
1696,March 1987 (L35)
67238,September 1992 (L30)
42662,July 2001 (MN4)
42666,March 2002 (MN4)
1711,August 1990 (L30)
9908,December 1990 (L30)
18101,April 1991 (L30)
26322,June 2003 (MN3)
18131,April 1995 (L30)
1749,October 1984 (M40)
1751,February 1987 (M35)
34521,May 1998 (LSA)
1753,August 1986 (M35)
50910,August 1992 (M30)
18147,June 1993 (L30)
50916,February 2003 (LN3)
18158,September 1983 (L40)
1788,June 1986 (L35)
50945,August 1998 (LSA)
1794,October 1988 (M35)
1795,October 1988 (M35)
18178,October 1984 (M40)
1797,July 1988 (M35)
1798,August 1986 (M35)
50954,March 1992 (L30)
1802,May 1989 (L35)
18187,August 1994 (M30)
1805,September 1986 (L35)
100111,July 2001 (MN4)
91920,March 1993 (L30)
18201,August 1984 (L40)
18203,April 1995 (M30)
51000,May 1989 (M35)
59195,September 1997 (LSA)
18239,May 1995 (L30)
51022,August 2004 (LN1)
18261,August 1994 (L30)
10071,September 1988 (L35)
26456,February 1999 (MSA)
10073,September 1991 (M30)
26460,September 1999 (MSA)
26462,February 2000 (MSA)
10079,October 1991 (M30)
1892,August 1986 (L35)
51048,November 1998 (MSA)
26478,August 1999 (LSA)
10094,November 1991 (M30)
51055,April 2004 (MN2)
1905,February 1987 (M35)
26482,March 2001 (LSA)
34678,March 1991 (M30)
59254,November 2005 (MA2)
26490,February 2001 (LSA)
18300,November 1994 (L30)
10110,May 1993 (L30)
51071,February 2005 (MN1)
34689,April 1992 (M30)
1924,October 1982 (L40)
34696,July 1997 (MSA)
34716,February 1986 (M35)
100256,June 2002 (LN4)
1952,June 1986 (M35)
34726,April 1996 (LSA)
34728,January 1996 (LSA)
34730,December 1996 (MSA)
34731,August 1986 (M35)
18350,August 1994 (L30)
18353,November 1991 (L30)
51124,November 2001 (LN4)
75706,March 1996 (LSA)
10173,January 1994 (L30)
18368,November 1994 (M30)
1986,October 1988 (L35)
42947,December 1999 (LSA)
10181,January 1992 (M30)
42953,October 1999 (LSA)
10196,May 1990 (M35)
18393,March 1995 (M30)
42972,April 2000 (LSA)
34784,July 2003 (MN2)
59364,March 2004 (MN2)
75754,October 1992 (L30)
34796,August 1997 (LSA)
75757,March 1999 (MSA)
34797,January 2002 (MN4)
75759,November 1995 (MSA)
42992,October 1999 (LSA)
10225,February 1994 (L30)
75760,January 1993 (M30)
75763,July 2003 (LN2)
42996,October 2000 (MSA)
10229,April 1986 (M35)
10230,August 1989 (M35)
42997,July 1999 (MSA)
75765,December 1998 (MSA)
75774,Female
75784,July 1990 (L30)
59404,May 2004 (LN2)
75790,September 1998 (MSA)
10255,August 1987 (L35)
43025,September 2000 (MSA)
26647,October 2000 (LSA)
75801,August 1993 (L30)
26650,January 2001 (LSA)
2075,January 1983 (M40)
75803,June 1992 (M30)
75804,June 1996 (MSA)
51236,July 1999 (MSA)
26661,July 2000 (MSA)
75812,August 2003 (MN2)
75816,June 2003 (MN3)
2090,July 1983 (L40)
10287,March 1989 (L35)
