ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
46065,9623,3,Ning,Zhongyan,CHN,"1.06,53",2024-02-17,Calgary (CAN),World Single Distances Championships 2024,m,2023,1000
42662,9624,4,Nonomura,Taiyo,JPN,"1.06,68",2024-01-21,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1000
21522,9625,5,Shinhama,Tatsuya,JPN,"1.06,72",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
5487,9626,6,Nuis,Kjeld,NED,"1.06,80",2024-02-17,Calgary (CAN),World Single Distances Championships 2024,m,2023,1000
60269,9627,7,McDermott-Mostowy,Conor,USA,"1.06,91",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
40443,9628,8,de Boo,Jenning,NED,"1.06,95",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
6727,9629,9,Dubreuil,Laurent,CAN,"1.07,04",2024-02-17,Calgary (CAN),World Single Distances Championships 2024,m,2023,1000
4308,9630,10,Bosa,David,ITA,"1.07,06",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
7467,9631,11,Liiv,Marten,EST,"1.07,15",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
8242,9632,12,Lorentzen,Håvard Holmefjord,NOR,"1.07,28",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
35048,9633,13,Wennemars,Joep,NED,"1.07,40",2024-02-25,Heerenveen (NED),Netherlands - Sprint Championships 2024,m,2023,1000
36209,9634,14,Kojima,Ryota,JPN,"1.07,44",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
26460,9635,14,Żurek,Damian,POL,"1.07,44",2024-02-17,Calgary (CAN),World Single Distances Championships 2024,m,2023,1000
52278,9636,16,Yamada,Kazuya,JPN,"1.07,45",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
48138,9637,17,Vosté,Mathias,BEL,"1.07,46",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
13239,9638,18,Michalski,Piotr,POL,"1.07,58",2024-02-17,Calgary (CAN),World Single Distances Championships 2024,m,2023,1000
10995,9639,19,Dombek,Hendrik,GER,"1.07,63",2024-02-17,Calgary (CAN),World Single Distances Championships 2024,m,2023,1000
22977,9640,20,Cho,Sang-Hyeok,KOR,"1.07,67",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
29576,9641,21,Klein,Moritz,GER,"1.07,71",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
43611,9642,22,Howe,Connor,CAN,"1.07,76",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
22597,9643,23,Yamada,Masaya,JPN,"1.07,81",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
6588,9644,24,Verbij,Kai,NED,"1.07,82",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
14753,9645,25,Kim,Tae-Yun,KOR,"1.07,86",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
43798,9646,26,Kongshaug,Peder,NOR,"1.07,92",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
56387,9647,27,Koo,Kyung-Min,KOR,"1.07,93",2024-03-08,Inzell (GER),World Sprint Championships 2024,m,2023,1000
77616,9648,28,Stoppelmoor,Zach,USA,"1.08,00",2024-01-06,Salt Lake City (USA),Winter World Cup Qualifier,m,2023,1000
45756,9649,29,McLeod,Cooper,USA,"1.08,01",2024-01-06,Salt Lake City (USA),Winter World Cup Qualifier,m,2023,1000
75765,9650,30,Du,Haonan,CHN,"1.08,08",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
24030,9651,31,Snel,Tijmen,NED,"1.08,09",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2023,1000
58110,9652,32,Zhao,Yankun,CAN,"1.08,12",2024-01-21,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1000
2942,9653,33,Otterspeer,Hein,NED,"1.08,15",2023-10-21,Heerenveen (NED),Trainingswedstrijd Topteams en WCKT-Deelnemers,m,2023,1000
11169,9654,33,Dijs,Wesly,NED,"1.08,15",2024-02-25,Heerenveen (NED),Netherlands - Sprint Championships 2024,m,2023,1000
21597,9655,33,Scheperkamp,Merijn,NED,"1.08,15",2024-02-25,Heerenveen (NED),Netherlands - Sprint Championships 2024,m,2023,1000
22922,9656,36,Botman,Janno,NED,"1.08,20",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2023,1000
6662,9657,37,Trentini,Alessio,ITA,"1.08,23",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
58651,9658,38,Tai,Wei-Lin,TPE,"1.08,26",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
14886,9659,39,De Haître,Vincent,CAN,"1.08,27",2024-01-21,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1000
23347,9660,40,Hollaar,Louis,NED,"1.08,28",2023-12-22,Heerenveen (NED),Trainingwedstrijd Topteams/Deelnemers NKA,m,2023,1000
7135,9661,41,Krol,Thomas,NED,"1.08,34",2023-12-22,Heerenveen (NED),Trainingwedstrijd Topteams/Deelnemers NKA,m,2023,1000
23605,9662,42,Magnussen,Bjørn,NOR,"1.08,39",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
76917,9663,43,Wang,Haotian,CHN,"1.08,41",2023-12-01,Calgary (CAN),2023 CanAm International,m,2023,1000
77126,9664,44,Deng,Zhihan,CHN,"1.08,42",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
63000,9665,45,Emele,Stefan,GER,"1.08,43",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
6725,9666,46,Gélinas-Beaulieu,Antoine,CAN,"1.08,48",2023-10-06,Calgary (CAN),Canada - Long Track Championships 2024,m,2023,1000
41354,9667,47,Emin,Cooper,CAN,"1.08,52",2023-12-01,Calgary (CAN),2023 CanAm International,m,2023,1000
26117,9668,48,Langelaar,Tyson,CAN,"1.08,62",2023-12-01,Calgary (CAN),2023 CanAm International,m,2023,1000
26456,9669,49,Kania,Marek,POL,"1.08,68",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
57301,9670,50,Llop Izquierdo,Nil,ESP,"1.08,71",2023-11-03,Calgary (CAN),Oktoberfest Classic 2023,m,2023,1000
12091,9671,51,Kersten,Cornelius,GBR,"1.08,72",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
30801,9672,52,Kim,Min-Seok,KOR,"1.08,77",2023-09-22,Calgary (CAN),2023 Fall Classic,m,2023,1000
46249,9673,53,Galiyev,Artur,KAZ,"1.08,79",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
30592,9674,54,Gebauer,William,USA,"1.08,82",2024-01-06,Salt Lake City (USA),Winter World Cup Qualifier,m,2023,1000
34898,9675,54,Cha,Min-Kyu,KOR,"1.08,82",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
51667,9676,56,La Rue,David,CAN,"1.08,84",2023-09-29,Calgary (CAN),Time Trials,m,2023,1000
26462,9677,57,Piotrowski,Jakub,POL,"1.08,85",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
36908,9678,58,Morishige,Wataru,JPN,"1.08,87",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
69670,9679,59,Kulbacki,Ryan,CAN,"1.08,88",2023-12-03,Calgary (CAN),2023 CanAm International,m,2023,1000
30748,9680,60,Odor,Gabriel,AUT,"1.08,91",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
29006,9681,61,Mushtakov,Viktor,RUS,"1.08,92",2023-10-07,Kolomna,Kolomna Kremlin Cup,m,2023,1000
51681,9682,62,Brunet,Cédrick,CAN,"1.09,01",2024-03-10,Calgary (CAN),Olympic Oval Grand Prix - Canada Cup Final,m,2023,1000
71502,9683,63,Thiebault,Valentin,FRA,"1.09,07",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
87410,9684,64,Worley,Tanner,USA,"1.09,08",2024-03-09,Salt Lake City (USA),AmCup Final,m,2023,1000
17178,9685,65,Kulizhnikov,Pavel,RUS,"1.09,09",2023-10-07,Kolomna,Kolomna Kremlin Cup,m,2023,1000
26322,9686,65,Vos,Kayo,NED,"1.09,09",2024-02-25,Heerenveen (NED),Netherlands - Sprint Championships 2024,m,2023,1000
23493,9687,67,Johansson,Allan Dahl,NOR,"1.09,10",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
