ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
,,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
40477.0,47.0,47,Li,Huawei,CHN,"39,06",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,500
9657.0,48.0,49,Kim,Hyun-Yung,KOR,"39,09",2015-01-21,Seoul (KOR),2015 National Skating Championships,f,2014,500
4212.0,49.0,50,Park,Seung-Joo,KOR,"39,12",2014-10-11,Calgary (CAN),Time Trials,f,2014,500
8424.0,50.0,51,Takagi,Nana,JPN,"39,14",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
822.0,51.0,52,Hirschbichler,Gabriele,GER,"39,18",2015-02-28,Inzell (GER),International German Open 2015,f,2014,500
34997.0,52.0,53,Kim,Min-Sun,KOR,"39,19",2015-03-20,Seoul (KOR),2015 National High School/Junior High School Championships,f,2014,500
9653.0,53.0,54,Jang,Mee,KOR,"39,21",2014-12-14,Heerenveen (NED),ISU World Cup,f,2014,500
343.0,54.0,55,Skokova,Yuliya,RUS,"39,22",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
22.0,55.0,56,Sáblíková,Martina,CZE,"39,23",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
1344.0,56.0,57,Joling,Marije,NED,"39,24",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
12830.0,57.0,57,Takagi,Miho,JPN,"39,24",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
1346.0,58.0,59,de Vries,Linda,NED,"39,26",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
4833.0,59.0,60,Risku,Elina,FIN,"39,28",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,500
19161.0,60.0,61,Fiset,Noémie,CAN,"39,30",2014-10-25,Calgary (CAN),World Cup Trials,f,2014,500
4299.0,61.0,62,Kamminga,Manon,NED,"39,35",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
5067.0,62.0,63,Arshinova,Irina,RUS,"39,38",2015-01-11,Kolomna,Russia Cup 4,f,2014,500
10255.0,63.0,64,Gunther,Kelly,USA,"39,40",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,500
29784.0,64.0,65,Kim,Min-Jo,KOR,"39,41",2015-03-14,Seoul (KOR),50th Memorial Competition,f,2014,500
5642.0,65.0,66,Pater,Rosa,NED,"39,43",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,500
609.0,66.0,66,Złotkowska,Luiza,POL,"39,43",2015-02-28,Calgary (CAN),Time Trials,f,2014,500
22755.0,67.0,68,Zhang,Yue,CHN,"39,45",2014-09-27,Calgary (CAN),Fall Classic,f,2014,500
3147.0,68.0,68,Matsuda,Yuki,JPN,"39,45",2014-11-08,Obihiro (JPN),Japan Cup 1,f,2014,500
933.0,69.0,70,Plate,Jennifer,GER,"39,46",2015-02-28,Inzell (GER),International German Open 2015,f,2014,500
